id,tweetText,tweetURL,type,tweetAuthor,handle,geo,mentions,hashtags,replyCount,quoteCount,retweetCount,likeCount,views,bookmarkCount,createdAt,allMediaURL,videoURL
1820934767312859634,"Kellie Harrington homecoming after Tokyo 2020 #Olympics #boxing gold for Ireland

 https://t.co/4J374P5YGM",https://x.com/HonestFrank/status/1820934767312859634,tweet,Francis Keogh,@HonestFrank,,,"#Olympics,#boxing",0,0,0,0,-,0,2024-08-07 00:27:34,https://pbs.twimg.com/media/E8dKeTiWQAAdJVN.jpg,https://video.twimg.com/amplify_video/1425188965657858050/vid/1280x720/1pi4dA2DlC7n063m.mp4?tag=14
1820934764871794856,Με ύφος ΤΕΛΕΙΩΣΑΤΕ μπήκε ο Μίλτος μας 🔥😎🚀🇬🇷 #TeamHellas #paris2024 #Olympics #paris2024gr,https://x.com/WaltersPa4652/status/1820934764871794856,tweet,Paulette Walters,@WaltersPa4652,,,"#TeamHellas,#paris2024,#Olympics,#paris2024gr",0,0,0,0,-,0,2024-08-07 00:27:33,,
1820934747964559415,@PopBase #Olympics USA is good but will be beaten,https://x.com/JayGaran/status/1820934747964559415,tweet,Jay Garan 🇰🇪🇰🇪,@JayGaran,"Mombasa, Kenya",@PopBase,#Olympics,0,0,0,0,-,0,2024-08-07 00:27:29,,
1820934747280859532,Με ύφος ΤΕΛΕΙΩΣΑΤΕ μπήκε ο Μίλτος μας 🔥😎🚀🇬🇷 #TeamHellas #paris2024 #Olympics #paris2024gr,https://x.com/WaltersPa4652/status/1820934747280859532,tweet,Paulette Walters,@WaltersPa4652,,,"#TeamHellas,#paris2024,#Olympics,#paris2024gr",0,0,0,0,-,0,2024-08-07 00:27:29,,
1820934736237199545,"#Olympics Women's semi-final:
Brazil are flying. Marta will get her well-deserved farewell in the final match. Brazil smashed Spain 4-2 and will face the USA.
The four-time gold medal winners once again won in ET, this time a narrow win against Germany. https://t.co/MRlDRlf0RU",https://x.com/BabaGol_/status/1820934736237199545,tweet,BabaGol,@BabaGol_,,,#Olympics,0,0,0,0,-,0,2024-08-07 00:27:27,"https://pbs.twimg.com/media/GUVCeZMXEAAjpsA.jpg,https://pbs.twimg.com/media/GUVCeZCWYAAwQoR.jpg",
1820934735931023489,"Olympics24 : Julien Alfred of St Lucia becomes fas... https://t.co/2lFpcbv9z9 

#Paris2024  #ParisOlympics2024 #Olympics #OlympicGames #Olympics2024Paris #ParisOlympics24  #StLucians #StLucia  #julienAlfred #100meters #Athetics #WestIndies https://t.co/UgcQXPcR2R",https://x.com/amitava0112/status/1820934735931023489,tweet,amitava,@amitava0112,Kolkata,,"#Paris2024,#ParisOlympics2024,#Olympics,#OlympicGames,#Olympics2024Paris,#ParisOlympics24,#StLucians,#StLucia,#julienAlfred,#100meters,#Athetics,#WestIndies",0,0,0,0,1,0,2024-08-07 00:27:27,https://pbs.twimg.com/media/GUVCfFtWMAA7Idg.jpg,
1820934731837415840,Yang looks pretty good to my untrained eye she's won this first round. #Olympics 😳😬,https://x.com/AJoyForever83/status/1820934731837415840,tweet,Chris Hardiman ☕🎸🚨🏈📺🏳️‍🌈🇮🇪,@AJoyForever83,Ireland,,#Olympics,0,0,0,0,-,0,2024-08-07 00:27:26,,
1820934727731150972,Με ύφος ΤΕΛΕΙΩΣΑΤΕ μπήκε ο Μίλτος μας 🔥😎🚀🇬🇷 #TeamHellas #paris2024 #Olympics #paris2024gr,https://x.com/WaltersPa4652/status/1820934727731150972,tweet,Paulette Walters,@WaltersPa4652,,,"#TeamHellas,#paris2024,#Olympics,#paris2024gr",0,0,0,0,-,0,2024-08-07 00:27:25,,
1820934726909128827,"The support for Kellie Harrington is tremendous 
#Paris2024 #TeamIreland #Olympics https://t.co/0QmUXR8fsg",https://x.com/Abourke3Aoife/status/1820934726909128827,tweet,Aoife Bourke,@Abourke3Aoife,Constantly traveling between Dublin and Mayo.,,"#Paris2024,#TeamIreland,#Olympics",0,0,0,0,10,0,2024-08-07 00:27:24,"https://pbs.twimg.com/media/GUVCdVuWAAArPMu.jpg,https://pbs.twimg.com/media/GUVCdVqWEAEdolu.jpg,https://pbs.twimg.com/media/GUVCdYmXgAEcCuK.jpg",
1820934698400690364,Με ύφος ΤΕΛΕΙΩΣΑΤΕ μπήκε ο Μίλτος μας 🔥😎🚀🇬🇷 #TeamHellas #paris2024 #Olympics #paris2024gr,https://x.com/TylerCross8312/status/1820934698400690364,tweet,Tyler Crossman,@TylerCross8312,,,"#TeamHellas,#paris2024,#Olympics,#paris2024gr",0,0,0,0,1,0,2024-08-07 00:27:18,,
1820934679026880878,Με ύφος ΤΕΛΕΙΩΣΑΤΕ μπήκε ο Μίλτος μας 🔥😎🚀🇬🇷 #TeamHellas #paris2024 #Olympics #paris2024gr,https://x.com/TylerCross8312/status/1820934679026880878,tweet,Tyler Crossman,@TylerCross8312,,,"#TeamHellas,#paris2024,#Olympics,#paris2024gr",0,0,0,0,1,0,2024-08-07 00:27:13,,
1820934667610022324,"#Hockey
#Olympics

""The one who pours their heart and soul, who gives the hardest of efforts, falls shattered with tears of melancholy.""

Dear Hardik and Team,

I'm really proud of your effort. Thank you for giving us an electrifying, spine-tingling performance that was full of euphoria and goosebumps. I couldn't be grateful enough. Thank you for making us believe that India could play a Gold Medal match again after 1980.

As a fan, I take responsibility for not caring about this sport earlier. This sport is an emotion for all of us, but I promise we will rebuild as a nation and regain our heritage. The Hockey India League will be a big success, we will make it big and better together, and we will contribute & fullfill our dreams of lifting the Gold Medal together.",https://x.com/supersonicbirua/status/1820934667610022324,tweet,Tanuj Birua,@supersonicbirua,Delhi,,"#Hockey,#Olympics",0,0,0,0,-,0,2024-08-07 00:27:10,https://pbs.twimg.com/media/GUVCbVXXwAEjodf.jpg,
1820934667228295567,"#Hockey
#Olympics

""The one who pours their heart and soul, who gives the hardest of efforts, falls shattered with tears of melancholy.""

Dear Hardik and Team,

I'm really proud of your effort. Thank you for giving us an electrifying, spine-tingling performance that was full of euphoria and goosebumps. I couldn't be grateful enough. Thank you for making us believe that India could play a Gold Medal match again after 1980.

As a fan, I take responsibility for not caring about this sport earlier. This sport is an emotion for all of us, but I promise we will rebuild as a nation and regain our heritage. The Hockey India League will be a big success, we will make it big and better together, and we will contribute & fullfill our dreams of lifting the Gold Medal together.",https://x.com/supersonicbirua/status/1820934667228295567,tweet,Tanuj Birua,@supersonicbirua,Delhi,,"#Hockey,#Olympics",0,0,0,0,-,0,2024-08-07 00:27:10,https://pbs.twimg.com/media/GUVCbVXXwAEjodf.jpg,
1820934665999437977,Throughout these #Olympics France 🇫🇷-Germany 🇩🇪 &amp; France 🇫🇷-Canada 🇨🇦 have faced off so many times,https://x.com/elclass_king/status/1820934665999437977,tweet,Juan RC 🇵🇷,@elclass_king,"Washington, DC via Puerto Rico",,#Olympics,0,0,0,0,-,0,2024-08-07 00:27:10,,
1820934660849070333,Με ύφος ΤΕΛΕΙΩΣΑΤΕ μπήκε ο Μίλτος μας 🔥😎🚀🇬🇷 #TeamHellas #paris2024 #Olympics #paris2024gr,https://x.com/TylerCross8312/status/1820934660849070333,tweet,Tyler Crossman,@TylerCross8312,,,"#TeamHellas,#paris2024,#Olympics,#paris2024gr",0,0,0,0,-,0,2024-08-07 00:27:09,,
1820934641894760700,Με ύφος ΤΕΛΕΙΩΣΑΤΕ μπήκε ο Μίλτος μας 🔥😎🚀🇬🇷 #TeamHellas #paris2024 #Olympics #paris2024gr,https://x.com/TylerCross8312/status/1820934641894760700,tweet,Tyler Crossman,@TylerCross8312,,,"#TeamHellas,#paris2024,#Olympics,#paris2024gr",0,0,0,0,-,0,2024-08-07 00:27:04,,
1820934634663743639,Imane Khelif qualifies for the final round of boxing after defeating Janjaem Suwannapheng during the semi-finals. #Olympics https://t.co/4pK2NBsZQj,https://x.com/DailyAGZA/status/1820934634663743639,tweet,DailyAGZA,@DailyAGZA,United States,,#Olympics,0,0,0,0,4,0,2024-08-07 00:27:02,https://pbs.twimg.com/media/GUVCZGJXEAAKJ1x.jpg,
1820934623443984674,Με ύφος ΤΕΛΕΙΩΣΑΤΕ μπήκε ο Μίλτος μας 🔥😎🚀🇬🇷 #TeamHellas #paris2024 #Olympics #paris2024gr,https://x.com/TylerCross8312/status/1820934623443984674,tweet,Tyler Crossman,@TylerCross8312,,,"#TeamHellas,#paris2024,#Olympics,#paris2024gr",0,0,0,0,-,0,2024-08-07 00:27:00,,
1820934623020318811,"Foi bem aqui que o Brasil começou a vencer só não ver quem não quer 
 #BRAxESP 
#Paris2024         #OlimpiadasParis2024 #JogosOlímpicos       #Olympics https://t.co/s1l0ndcE9s",https://x.com/BiaHutche1/status/1820934623020318811,tweet,Bia,@BiaHutche1,,,"#BRAxESP,#Paris2024,#OlimpiadasParis2024,#JogosOlímpicos,#Olympics",0,0,0,1,3,0,2024-08-07 00:27:00,https://pbs.twimg.com/media/GUVCYomXIAAF1Cm.jpg,
1820934616980541569,This is turning into imene khelif update account and we love it LFG #Olympics,https://x.com/drunkjauregai/status/1820934616980541569,tweet,D⃫j⃫o⃫ 🇵🇸,@drunkjauregai,She/Her,,#Olympics,0,0,0,0,1,0,2024-08-07 00:26:58,,
1820934615562866764,USA Destroys Brazil &amp; Moves On To Semi-Finals #nba #usa #olympics #parisolympics #serbia https://t.co/lQ8WqF8peO,https://x.com/iamtylertnt/status/1820934615562866764,tweet,Ty,@iamtylertnt,Bikini Bottom,,"#nba,#usa,#olympics,#parisolympics,#serbia",0,0,0,2,5,0,2024-08-07 00:26:58,https://pbs.twimg.com/ext_tw_video_thumb/1820934527365050368/pu/img/ugU8_T_HDP44ALBb.jpg,https://video.twimg.com/ext_tw_video/1820934527365050368/pu/vid/avc1/720x1280/ud6XMr_LoqUTmU39.mp4?tag=12
1820934603072225756,The oles are mighty for Kellie Harrington #Olympics #boxing,https://x.com/martinmcgrath/status/1820934603072225756,tweet,Martin McGrath @mastodon.social & @bsky.social,@martinmcgrath,,,"#Olympics,#boxing",0,0,0,0,59,0,2024-08-07 00:26:55,,
1820934586639032792,Holy smokes! Men's 1500M lived up to the hype and was totally unexpected! Wow! #Olympics #1500M,https://x.com/drjscully/status/1820934586639032792,tweet,Dr. J Magnum PI is the Best! 🥥🌴,@drjscully,"Austin, TX",,"#Olympics,#1500M",0,0,0,0,1,0,2024-08-07 00:26:51,,
1820934601982013764,Με ύφος ΤΕΛΕΙΩΣΑΤΕ μπήκε ο Μίλτος μας 🔥😎🚀🇬🇷 #TeamHellas #paris2024 #Olympics #paris2024gr,https://x.com/TylerCross8312/status/1820934601982013764,tweet,Tyler Crossman,@TylerCross8312,,,"#TeamHellas,#paris2024,#Olympics,#paris2024gr",0,0,0,0,-,0,2024-08-07 00:26:55,,
