id,tweetText,tweetURL,type,tweetAuthor,handle,geo,mentions,hashtags,replyCount,quoteCount,retweetCount,likeCount,views,bookmarkCount,createdAt,allMediaURL,videoURL
1820929981985268089,Wow what a duo. ⁦@CindyNgamba⁩ with the legendary ⁦@TashaJonas⁩ &amp; ⁦@JoeG⁩ in her corner. A star already #OlympicsParis #Boxing 🥊 Fantastic report ⁦@chrishallitv⁩ 🥊 https://t.co/0TIrbcdoUc,https://x.com/ElaineWITV/status/1820929981985268089,tweet,Elaine Willcox,@ElaineWITV,NW,"@CindyNgamba,@TashaJonas,@JoeG,@chrishallitv","#OlympicsParis,#Boxing",0,0,0,1,178,0,2024-08-07 00:08:33,,
1820918272948154594,"This photo is pure joy!  The camaraderie between these athletes transcends competition. It's a reminder that sports are about pushing limits, but also about celebrating shared passion and accomplishment. #OlympicsParis #PoleVault #Friendship #US https://t.co/wWhFxbkZCb",https://x.com/volatile_kwon/status/1820918272948154594,tweet,Done Kwon 🌕,@volatile_kwon,Moon 🌕,,"#OlympicsParis,#PoleVault,#Friendship,#US",0,0,0,1,15,0,2024-08-06 23:22:01,https://pbs.twimg.com/media/GUUzhIhWAAAB5Ei.jpg,
1820916581435621698,"WATCH NOW👀

🔴#Olympics2024 🇬🇧LEWIS RICHARDSON VS 🇲🇽MARCO VERDE 71KG WELTERWEIGHT SEMI'S #UK #England #Mexico 
@YouTube #YouTube #Boxing #BoxingTalk #Boxeo #BoxingNews #BoxingHeads  #Olympic2024
#Olympics2024Paris #Olympics
#OlympicGames #OlympicsParis
https://t.co/mKOsHnD8BL",https://x.com/Blackmartian333/status/1820916581435621698,tweet,#DifferentHere 🍀☘️,@Blackmartian333,,@YouTube,"#Olympics2024,#UK,#England,#Mexico,#YouTube,#Boxing,#BoxingTalk,#Boxeo,#BoxingNews,#BoxingHeads,#Olympic2024,#Olympics2024Paris,#Olympics,#OlympicGames,#OlympicsParis",0,0,0,0,283,0,2024-08-06 23:15:18,,
1820915964629721214,"WATCH NOW👀

🔴#Olympics2024 20YR DROUGHT CONTINUES🆙️⬆️
🇺🇸OMARI JONES  VS 🇺🇿ASADKHUJA MUYDINKHUJAEV 71KG WELTERWEIGHT SEMI'S #USA #Uzbekistan  #Boxing #BoxingTalk #Boxeo #BoxingNews #BoxingHeads
#Olympics2024Paris #Olympics
#OlympicGames #OlympicsParis
https://t.co/htf8LBwdnk",https://x.com/Blackmartian333/status/1820915964629721214,tweet,#DifferentHere 🍀☘️,@Blackmartian333,,,"#Olympics2024,#USA,#Uzbekistan,#Boxing,#BoxingTalk,#Boxeo,#BoxingNews,#BoxingHeads,#Olympics2024Paris,#Olympics,#OlympicGames,#OlympicsParis",0,0,0,0,149,0,2024-08-06 23:12:51,,
1820898612525854860,"Not that he can't ❎
He doesn't need ✅
.
.
.
.
.
#Turkey #OlympicsParis #YusufDikeç #Olympics #Paris2024 #OlympicGames https://t.co/h2OaqAXkqR",https://x.com/KingSlayer__7/status/1820898612525854860,tweet,King,@KingSlayer__7,"Philadelphia, PA",,"#Turkey,#OlympicsParis,#YusufDikeç,#Olympics,#Paris2024,#OlympicGames",0,0,0,0,14,0,2024-08-06 22:03:54,https://pbs.twimg.com/media/GUUhowuaIAA0CjO.jpg,
1820895049556574515,"@iocmedia

#savewomenssports #XX  #olympicsparis",https://x.com/Cailinfearg1/status/1820895049556574515,tweet,CailinFearg,@Cailinfearg1,,@iocmedia,"#savewomenssports,#XX,#olympicsparis",0,0,0,0,3,0,2024-08-06 21:49:45,,
1820892609381896675,"If he wanted, he could have gotten a gold medal. But real men don't wear gold. 😎
.
.
.

#Turkey #OlympicsParis #YusufDikeç #Olympics #Paris2024 #OlympicGames https://t.co/4DCBXscXvw",https://x.com/HymzaGardazi/status/1820892609381896675,tweet,♥️🧸حمزہ 𐂂,@HymzaGardazi,"Punjab, Pakistan",,"#Turkey,#OlympicsParis,#YusufDikeç,#Olympics,#Paris2024,#OlympicGames",0,0,0,1,67,0,2024-08-06 21:40:03,https://pbs.twimg.com/media/GUUcLYlXAAA88l5.jpg,
1820728967604629554,"Πρόβλεψη για τους 4 προημιτελικούς;

#Olympics2024 #basketball #OlympicsParis #OlympicGames #Paris2024 #olympiacosbc #paobc #paobcaktor https://t.co/Z2pUobdzis",https://x.com/surealeague/status/1820728967604629554,tweet,Σουρεάλ Λιγκ,@surealeague,,,"#Olympics2024,#basketball,#OlympicsParis,#OlympicGames,#Paris2024,#olympiacosbc,#paobc,#paobcaktor",1,0,0,0,100,0,2024-08-06 10:49:48,https://pbs.twimg.com/media/GUSHQOsW4AA-sZO.jpg,
1820701086514053464,"#olympicsparis

Join us in celebrating the outstanding achievements of our Japanese athletes!

日本頑張れ! https://t.co/sOK6D0SzJ4",https://x.com/ADAMORBIS/status/1820701086514053464,tweet,Adamorbis@🇺🇲BilingualTESLCo.上級英語学習者向け,@ADAMORBIS,The United States,,#olympicsparis,0,0,0,8,147,0,2024-08-06 08:59:00,https://pbs.twimg.com/media/GURt_Y4XwAAZeKt.png,
1820685959891165480,Simone Biles 2024 USA Paris Olympics T-Shirt #SimoneBiles #Olympics2024 #OlympicsParis #getlatests https://t.co/tGzPsUcM37 https://t.co/f4JQowc6GN,https://x.com/MichelleWa55181/status/1820685959891165480,tweet,Michelle Ward,@MichelleWa55181,"Austin, NV 89310",,"#SimoneBiles,#Olympics2024,#OlympicsParis,#getlatests",0,0,0,0,29,0,2024-08-06 07:58:54,https://pbs.twimg.com/media/GURgO5hakAAI_Jy.jpg,
