id,tweetText,tweetURL,type,tweetAuthor,handle,geo,mentions,hashtags,replyCount,quoteCount,retweetCount,likeCount,views,bookmarkCount,createdAt,allMediaURL,videoURL
1821478490341786074,@nadiacomaneci10 @Olympics are the biggest woke joke in history,https://x.com/blizzard861/status/1821478490341786074,tweet,cruz.eth,@blizzard861,,"@nadiacomaneci10,@Olympics",,0,0,0,0,-,0,2024-08-08 12:28:08,,
1821478487598731493,che recupero che ha fatto la francese #Giochiolimpici #Rhythmicgymnastics,https://x.com/_Lavieenrosee__/status/1821478487598731493,tweet,𝑽𝒂𝒏𝒆𝒔𝒔𝒂 | olympic era🏅💙,@_Lavieenrosee__,,,"#Giochiolimpici,#Rhythmicgymnastics",0,0,0,0,-,0,2024-08-08 12:28:07,,
1821478487233798593,@Fatmasulley_ 🤣🤣 Olympics iishe kila mtu arudi kwenye team yake maana kuna meng ya kuzungumza,https://x.com/lamar24_/status/1821478487233798593,tweet,11hr11min,@lamar24_,,@Fatmasulley_,,0,0,0,0,-,0,2024-08-08 12:28:07,,
1821478486155866344,"Have you ever heard of John Joyce? The athlete from Kylemore, Co. Galway, who competed in the Olympic games in 1904.
120 years ago!
@MoycullenHerit1 
https://t.co/liCFV2iUNM",https://x.com/ItsOurHeritage/status/1821478486155866344,tweet,Our Irish Heritage,@ItsOurHeritage,Ireland,@MoycullenHerit1,,0,0,0,0,-,0,2024-08-08 12:28:07,,
1821478485522620695,@BharatEcricket @TheKhelIndia @X @XCorpIndia Thank you 🙏,https://x.com/BharatAtOlympic/status/1821478485522620695,tweet,The Khel India (Backup),@BharatAtOlympic,,"@BharatEcricket,@TheKhelIndia,@X,@XCorpIndia",,0,0,0,0,-,0,2024-08-08 12:28:07,,
1821478483769364743,"#NeerajChopraWinsGoldIf Neeraj chopra win a gold medal 🏅 today . I will Pay 1000 Rupees to everyone who likes the tweet 

 #Olympics   📷 #NeerajChopra #NeerajChopraWinsGold #vineshphogat https://t.co/9DGhESdVoJ",https://x.com/gurjar_vardhan/status/1821478483769364743,tweet,Vardhan Gurjar,@gurjar_vardhan,,,"#NeerajChopraWinsGoldIf,#Olympics,#NeerajChopra,#NeerajChopraWinsGold,#vineshphogat",0,0,0,0,-,0,2024-08-08 12:28:06,https://pbs.twimg.com/media/GUcxAWJWQAEm_OG.jpg,
1821478482473533902,@olympic_saikyou おけまる🙆‍♀️予定みてまたいいまする！,https://x.com/suisoxxsuiso/status/1821478482473533902,tweet,ちゃまᐢ.ˬ.ᐢ ♡,@suisoxxsuiso,🎮垢,@olympic_saikyou,,0,0,0,0,-,0,2024-08-08 12:28:06,,
1821478482393649258,"The #Paris2024Olympic highlights #AI's growing role in sports, with the IOC seeing it as crucial for the future. More advanced AI applications are expected at the 2028 LA Games. How do you think the next Olympics will align with the recent #AIAct?",https://x.com/alltegrio/status/1821478482393649258,tweet,Alltegrio,@alltegrio,,,"#Paris2024Olympic,#AI,#AIAct",0,0,0,0,-,0,2024-08-08 12:28:06,,
1821478481068171517,@Olympics @greglouganis @TeamUSA @WorldAquatics .,https://x.com/painter849/status/1821478481068171517,tweet,Waqas,@painter849,,"@Olympics,@greglouganis,@TeamUSA,@WorldAquatics",,0,0,0,0,-,0,2024-08-08 12:28:05,,
1821478480292511917,"Proud to Belong @ Bass High School. Complementing the school’s successful rugby program with BHS Maths Olympics. Events such as straw javelin, frog long jump and speed tests saw skill, sportsmanship and lots of laughter. @k_rigas @jen_sheringham @TimDimech https://t.co/Xi69URlt3B",https://x.com/DrAMandel/status/1821478480292511917,tweet,Alexandra Mandel,@DrAMandel,,"@k_rigas,@jen_sheringham,@TimDimech",,0,0,0,0,-,0,2024-08-08 12:28:05,https://pbs.twimg.com/media/GUcxAefaIAAbf6Q.jpg,
