Category,Keyword,Web_Page_URL,Tweet_Website,Author_Name,Author_Web_Page_URL,Tweet_Timestamp,Tweet_Content,Tweet_Image_URL,Tweet_Video_URL,Tweet_AD,Tweet_Number_of_Reviews,Tweet_Number_of_Retweets,Tweet_Number_of_Likes,Tweet_Number_of_Looks
TopPost,#olympics2024,https://twitter.com/search?q=#olympics2024&src=typed_query&f=top,https://twitter.com/Mapasexy/status/1821618461136552037,Mapaseka MakhanyaReload,https://twitter.com/Mapasexy,2024-08-08,He Said #Olympics2024,,https://twitter.com/Mapasexy/status/1821618461136552037,False,15,508,778,35K
TopPost,#olympics2024,https://twitter.com/search?q=#olympics2024&src=typed_query&f=top,https://twitter.com/MuzalaSamukonga/status/1821617904590475540,Muzala Samukonga,https://twitter.com/MuzalaSamukonga,2024-08-08,"ZAMBIA KU CHALO Thank you very much heavenly father, I'll forever be grateful. #ZambiaKuChalo #TeamYatu #goldenmoments #olympics2024 #Paris2024 #MULUNGU_PASOGOLO #muzalasamukonga",https://pbs.twimg.com/media/GUev1F8WYAA2jYD?format=jpg&name=small;https://pbs.twimg.com/media/GUev1DnXEAEZLru?format=jpg&name=360x360;https://pbs.twimg.com/media/GUev1GjWQAEP1zi?format=jpg&name=360x360,https://twitter.com/MuzalaSamukonga/status/1821617904590475540,False,24,222,916,9.3K
TopPost,#olympics2024,https://twitter.com/search?q=#olympics2024&src=typed_query&f=top,https://twitter.com/gondo_nicole/status/1821620734931919120,Nicole GReload,https://twitter.com/gondo_nicole,2024-08-08,This was an African competition. Well done Africans   #olympics2024,,https://twitter.com/gondo_nicole/status/1821620734931919120,False,,,1,93
TopPost,#olympics2024,https://twitter.com/search?q=#olympics2024&src=typed_query&f=top,https://twitter.com/malinga_ninety9/status/1821637492497641757,Lasith Malinga,https://twitter.com/malinga_ninety9,2024-08-08,A huge applause to Arshad Nadeem and Neeraj Chopra for bringing goldand silver medals in the men’s Javelin throw at the 2024 Olympics to South Asia.Your incredible achievements make the entire region proud!#ArashadNadeem #NeerajChopra #Olympics2024,,https://twitter.com/malinga_ninety9/status/1821637492497641757,False,17,71,673,4.2K
TopPost,#olympics2024,https://twitter.com/search?q=#olympics2024&src=typed_query&f=top,https://twitter.com/LanceUlanoff/status/1820188272355631159,Lance UlanoffReload,https://twitter.com/LanceUlanoff,2024-08-04,Wow. Just wow. Noah Lyles wins by microns. #olympics2024,https://pbs.twimg.com/media/GUKbi3pWAAAf-qt?format=jpg&name=360x360;https://pbs.twimg.com/media/GUKbi3nWEAE8JAB?format=jpg&name=360x360,https://twitter.com/LanceUlanoff/status/1820188272355631159,False,1,4,19,38K
TopPost,#olympics2024,https://twitter.com/search?q=#olympics2024&src=typed_query&f=top,https://twitter.com/markkali1970/status/1821546189977976865,markkali1970 Reload,https://twitter.com/markkali1970,2024-08-08,Welp looks like the goaltender for Spain’s women’s water polo team is about to become a meme… #Spain #WaterPolo #Paris2024 #Olympics #Olympics2024,,https://twitter.com/markkali1970/status/1821546189977976865,False,,1,7,1.4K
TopPost,#olympics2024,https://twitter.com/search?q=#olympics2024&src=typed_query&f=top,https://twitter.com/sajuspeaks/status/1820878988119580890,Satyameva JayateReload,https://twitter.com/sajuspeaks,2024-08-06,Congratulations #VineshPhogat for reaching the final in #Olympics2024 #wrestling.. What will the #PM say to her once she wins the medal after what she went through fighting for justice few months back..,https://pbs.twimg.com/media/GUUPrEJWYAAXH4Z?format=jpg&name=small,https://twitter.com/sajuspeaks/status/1820878988119580890,False,1,,11,2.9K
TopPost,#olympics2024,https://twitter.com/search?q=#olympics2024&src=typed_query&f=top,https://twitter.com/StarSportsIndia/status/1821636433502990460,Star Sports,https://twitter.com/StarSportsIndia,2024-08-08,"He came, he threw, he won our hearts From Tokyo to Paris, he's always been the flagbearer for our country   #NeerajChopra, you’ve not just taught us about passion & grit, but you’ve also inspired an entire nation! #ParisOlympics2024 #Olympics2024 #NeerajChopra",https://pbs.twimg.com/media/GUfArPAa8AI5UVE?format=jpg&name=small,https://twitter.com/StarSportsIndia/status/1821636433502990460,False,6,45,261,12K
TopPost,#parisolympics,https://twitter.com/search?q=#parisolympics&src=typed_query&f=top,https://twitter.com/NBCOlympics/status/1821630990659313839,NBC Olympics & ParalympicsReload,https://twitter.com/NBCOlympics,2024-08-08,There’s NO catching Sydney McLaughlin-Levrone!She adds ANOTHER 400m hurdles gold medal and WORLD RECORD to her collection. #ParisOlympics,,https://twitter.com/NBCOlympics/status/1821630990659313839,False,170,4.2K,12K,472K
TopPost,#parisolympics,https://twitter.com/search?q=#parisolympics&src=typed_query&f=top,https://twitter.com/NBCOlympics/status/1821616436399190039,NBC Olympics & ParalympicsReload,https://twitter.com/NBCOlympics,2024-08-08,LETSILE TEBOGO WINS THE MEN’S 200M FOR BOTSWANA!  #ParisOlympics,,https://twitter.com/NBCOlympics/status/1821616436399190039,False,240,1.9K,6.3K,864K
