Category,Keyword,Tweet_Timestamp,Tweet_Content,Tweet_Number_of_Retweets,Tweet_Number_of_Likes,Tweet_Number_of_Looks,lemmatized_tweet,clean_tweet
TopPost,#olympics2024,2024-08-08,He Said #Olympics2024,508,778,35K,"['said', 'olympics2024']",said olympics2024
TopPost,#olympics2024,2024-08-08,"ZAMBIA KU CHALO Thank you very much heavenly father, I'll forever be grateful. #ZambiaKuChalo #TeamYatu #goldenmoments #olympics2024 #Paris2024 #MULUNGU_PASOGOLO #muzalasamukonga",222,916,9.3K,"['zambia', 'ku', 'chalo', 'thank', 'much', 'heavenly', 'father', 'ill', 'forever', 'grateful', 'zambiakuchalo', 'teamyatu', 'goldenmoments', 'olympics2024', 'paris2024', 'mulungupasogolo', 'muzalasamukonga']",zambia ku chalo thank much heavenly father ill forever grateful zambiakuchalo teamyatu goldenmoments olympics2024 paris2024 mulungupasogolo muzalasamukonga
TopPost,#olympics2024,2024-08-08,A huge applause to Arshad Nadeem and Neeraj Chopra for bringing goldand silver medals in the menâs Javelin throw at the 2024 Olympics to South Asia.Your incredible achievements make the entire region proud!#ArashadNadeem #NeerajChopra #Olympics2024,71,673,4.2K,"['huge', 'applause', 'arshad', 'nadeem', 'neeraj', 'chopra', 'bringing', 'goldand', 'silver', 'medal', 'menâ', 'javelin', 'throw', 'olympics', 'south', 'asiayour', 'incredible', 'achievement', 'make', 'entire', 'region', 'proudarashadnadeem', 'neerajchopra', 'olympics2024']",huge applause arshad nadeem neeraj chopra bringing goldand silver medal menâ javelin throw olympics south asiayour incredible achievement make entire region proudarashadnadeem neerajchopra olympics2024
TopPost,#olympics2024,2024-08-04,Wow. Just wow. Noah Lyles wins by microns. #olympics2024,4,19,38K,"['wow', 'wow', 'noah', 'lyles', 'win', 'micron', 'olympics2024']",wow wow noah lyles win micron olympics2024
TopPost,#olympics2024,2024-08-08,Welp looks like the goaltender for Spainâs womenâs water polo team is about to become a memeâ¦ #Spain #WaterPolo #Paris2024 #Olympics #Olympics2024,1,7,1.4K,"['welp', 'look', 'goaltender', 'spainâ', 'womenâ', 'water', 'polo', 'team', 'become', 'memeâ', 'spain', 'waterpolo', 'paris2024', 'olympics', 'olympics2024']",welp look goaltender spainâ womenâ water polo team become memeâ spain waterpolo paris2024 olympics olympics2024
TopPost,#olympics2024,2024-08-08,"He came, he threw, he won our hearts From Tokyo to Paris, he's always been the flagbearer for our country   #NeerajChopra, youâve not just taught us about passion & grit, but youâve also inspired an entire nation! #ParisOlympics2024 #Olympics2024 #NeerajChopra",45,261,12K,"['came', 'threw', 'heart', 'tokyo', 'paris', 'always', 'flagbearer', 'country', 'neerajchopra', 'youâ', 'taught', 'u', 'passion', 'grit', 'youâ', 'also', 'inspired', 'entire', 'nation', 'parisolympics2024', 'olympics2024', 'neerajchopra']",came threw heart tokyo paris always flagbearer country neerajchopra youâ taught u passion grit youâ also inspired entire nation parisolympics2024 olympics2024 neerajchopra
TopPost,#parisolympics,2024-08-08,Thereâs NO catching Sydney McLaughlin-Levrone!She adds ANOTHER 400m hurdles gold medal and WORLD RECORD to her collection. #ParisOlympics,4.2K,12K,472K,"['thereâ', 'catching', 'sydney', 'mclaughlinlevroneshe', 'add', 'hurdle', 'gold', 'medal', 'world', 'record', 'collection', 'parisolympics']",thereâ catching sydney mclaughlinlevroneshe add hurdle gold medal world record collection parisolympics
TopPost,#parisolympics,2024-08-08,LETSILE TEBOGO WINS THE MENâS 200M FOR BOTSWANA!  #ParisOlympics,1.9K,6.3K,864K,"['letsile', 'tebogo', 'win', 'botswana', 'parisolympics']",letsile tebogo win botswana parisolympics
TopPost,#parisolympics,2024-08-08,Grant. Holloway. DOMINATION on his way to 110m hurdles gold! #ParisOlympics,1K,2.7K,96K,"['grant', 'holloway', 'domination', 'way', 'hurdle', 'gold', 'parisolympics']",grant holloway domination way hurdle gold parisolympics
TopPost,#parisolympics,2024-08-08,GOLD IN WORLD RECORD TIME@GoSydGo is an Olympic champion once again!#ParisOlympics,3.6K,15K,285K,"['gold', 'world', 'record', 'time', 'olympic', 'champion', 'againparisolympics']",gold world record time olympic champion againparisolympics
