medal_date,medal_type,medal_code,name,gender,country,team,discipline,event
2024-07-27,Gold Medal,1,EVENEPOEL Remco,Male,Belgium,Individual,Cycling Road,Men's Individual Time Trial
2024-07-27,Silver Medal,2,GANNA Filippo,Male,Italy,Individual,Cycling Road,Men's Individual Time Trial
2024-07-27,Bronze Medal,3,van AERT Wout,Male,Belgium,Individual,Cycling Road,Men's Individual Time Trial
2024-07-27,Gold Medal,1,BROWN Grace,Female,Australia,Individual,Cycling Road,Women's Individual Time Trial
2024-07-27,Silver Medal,2,HENDERSON Anna,Female,Great Britain,Individual,Cycling Road,Women's Individual Time Trial
2024-07-27,Bronze Medal,3,DYGERT Chloe,Female,United States,Individual,Cycling Road,Women's Individual Time Trial
2024-07-27,Gold Medal,1,OH Sanguk,Male,Korea,Individual,Fencing,Men's Sabre Individual
2024-07-27,Silver Medal,2,FERJANI Fares,Male,Tunisia,Individual,Fencing,Men's Sabre Individual
2024-07-27,Bronze Medal,3,SAMELE Luigi,Male,Italy,Individual,Fencing,Men's Sabre Individual
2024-07-27,Gold Medal,1,KONG Man Wai Vivian,Female,"Hong Kong, China",Individual,Fencing,Women's Épée Individual
2024-07-27,Silver Medal,2,MALLO-BRETON Auriane,Female,France,Individual,Fencing,Women's Épée Individual
2024-07-27,Bronze Medal,3,MUHARI Eszter,Female,Hungary,Individual,Fencing,Women's Épée Individual
2024-07-27,Gold Medal,1,SMETOV Yeldos,Male,Kazakhstan,Individual,Judo,Men -60 kg
2024-07-27,Silver Medal,2,MKHEIDZE Luka,Male,France,Individual,Judo,Men -60 kg
2024-07-27,Bronze Medal,3,NAGAYAMA Ryuju,Male,Japan,Individual,Judo,Men -60 kg
2024-07-27,Bronze Medal,3,GARRIGOS Francisco,Male,Spain,Individual,Judo,Men -60 kg
2024-07-27,Gold Medal,1,TSUNODA Natsumi,Female,Japan,Individual,Judo,Women -48 kg
2024-07-27,Silver Medal,2,BAVUUDORJ Baasankhuu,Female,Mongolia,Individual,Judo,Women -48 kg
2024-07-27,Bronze Medal,3,BOUKLI Shirine,Female,France,Individual,Judo,Women -48 kg
2024-07-27,Bronze Medal,3,BABULFATH Tara,Female,Sweden,Individual,Judo,Women -48 kg
2024-07-27,Gold Medal,1,MAERTENS Lukas,Male,Germany,Individual,Swimming,Men's 400m Freestyle
2024-07-27,Silver Medal,2,WINNINGTON Elijah,Male,Australia,Individual,Swimming,Men's 400m Freestyle
2024-07-27,Bronze Medal,3,KIM Woomin,Male,Korea,Individual,Swimming,Men's 400m Freestyle
2024-07-27,Gold Medal,1,TITMUS Ariarne,Female,Australia,Individual,Swimming,Women's 400m Freestyle
2024-07-27,Silver Medal,2,McINTOSH Summer,Female,Canada,Individual,Swimming,Women's 400m Freestyle
2024-07-27,Bronze Medal,3,LEDECKY Katie,Female,United States,Individual,Swimming,Women's 400m Freestyle
2024-07-28,Gold Medal,1,FOX Jessica,Female,Australia,Individual,Canoe Slalom,Women's Kayak Single
2024-07-28,Silver Medal,2,ZWOLINSKA Klaudia,Female,Poland,Individual,Canoe Slalom,Women's Kayak Single
2024-07-28,Bronze Medal,3,WOODS Kimberley,Female,Great Britain,Individual,Canoe Slalom,Women's Kayak Single
2024-07-28,Gold Medal,1,FERRAND PREVOT Pauline,Female,France,Individual,Cycling Mountain Bike,Women's Cross-country
2024-07-28,Silver Medal,2,BATTEN Haley,Female,United States,Individual,Cycling Mountain Bike,Women's Cross-country
2024-07-28,Bronze Medal,3,RISSVEDS Jenny,Female,Sweden,Individual,Cycling Mountain Bike,Women's Cross-country
2024-07-28,Gold Medal,1,KANO Koki,Male,Japan,Individual,Fencing,Men's Épée Individual
2024-07-28,Silver Medal,2,BOREL Yannick,Male,France,Individual,Fencing,Men's Épée Individual
2024-07-28,Bronze Medal,3,ELSAYED Mohamed,Male,Egypt,Individual,Fencing,Men's Épée Individual
2024-07-28,Gold Medal,1,KIEFER Lee,Female,United States,Individual,Fencing,Women's Foil Individual
2024-07-28,Silver Medal,2,SCRUGGS Lauren,Female,United States,Individual,Fencing,Women's Foil Individual
2024-07-28,Bronze Medal,3,HARVEY Eleanor,Female,Canada,Individual,Fencing,Women's Foil Individual
