# CSV-File created with merge-csv.com
# -----------------------------------------------------------

﻿id,tweetText,tweetURL,type,tweetAuthor,handle,geo,mentions,hashtags,replyCount,quoteCount,retweetCount,likeCount,views,bookmarkCount,createdAt,allMediaURL,videoURL
1819161186690019753,@1_Curious_Cow @fatweegee GB didn't qualify for the Olympics.,https://x.com/brainmcmillan/status/1819161186690019753,tweet,brian mcmillan,@brainmcmillan,,"@1_Curious_Cow,@fatweegee",,1,0,0,0,33,0,2024-08-02 02:59:59,,
1819161185469845882,The  olympic opening you are not supposed to see. https://t.co/YJ3y89fmng,https://x.com/18aRetired/status/1819161185469845882,tweet,18ARetired,@18aRetired,In your Head.  Rent Free.,,,0,0,0,0,59,0,2024-08-02 02:59:59,https://pbs.twimg.com/ext_tw_video_thumb/1819153367459045376/pu/img/_DYyCwasijP3OH_L.jpg,https://video.twimg.com/ext_tw_video/1819153367459045376/pu/vid/avc1/720x720/lQ7rU1WKvLcH3ZMA.mp4?tag=12
1819161185364988325,Man Wins Gold Medal In Woman Beating At The Olympics | Evening Rants Ep 96 https://t.co/tdZjSMqj6n,https://x.com/TheMFingCOO/status/1819161185364988325,tweet,Alan Roberts,@TheMFingCOO,,,,2,1,2,7,2150,0,2024-08-02 02:59:59,,
1819161183418474732,"@nosoup4knowles Are we talking about hubby shooting two Pitbulls that broke through a window, or the hubby shooting intruder story?
Or the Olympic story?
So many stories on this today.",https://x.com/optimatessuck/status/1819161183418474732,tweet,American Kulak 🍌🇺🇸🇮🇱🇬🇧🇮🇪🇹🇼🇮🇳🇵🇱,@optimatessuck,Your Mom's Bedroom,@nosoup4knowles,,1,0,0,1,210,0,2024-08-02 02:59:59,,
1819161183414636592,Man Wins Gold Medal In Woman Beating At The Olympics | Evening Rants Ep 96 https://t.co/TkhefhZiA7,https://x.com/MarcLobliner/status/1819161183414636592,tweet,Marc Lobliner - IFBB Pro,@MarcLobliner,"Brentwood, TN",,,1,0,0,5,1307,0,2024-08-02 02:59:59,,
1819161182173077547,@ChrissieEvert She's a biological female who also competed in the last Olympics and lost. This is a case that has nothing to do with the issue you're referring to. Please check the relevant info on this topic.,https://x.com/AAfouxenidis/status/1819161182173077547,tweet,Alex doing Research,@AAfouxenidis,,@ChrissieEvert,,11,0,2,97,4510,0,2024-08-02 02:59:58,,
1819161181577531882,"@goddeketal @Olympics No sólo se los olímpicos, no debe boxear contra mujere y punto.",https://x.com/DDARTIGAS/status/1819161181577531882,tweet,Héctor Artigas,@DDARTIGAS,Veracruz,"@goddeketal,@Olympics",,0,0,0,0,2,0,2024-08-02 02:59:58,,
1819161182089236689,@Nayr905 @laizar27 IBC actually care about fairness and protecting people’s lives Olympics could give a damn if somebody dies! If she got XY chromosomes then she is a man. Not her fault but what’s true is true🤷🏾‍♂️,https://x.com/DreDayyy5/status/1819161182089236689,tweet,Lil’Dre,@DreDayyy5,"Texas, USA","@Nayr905,@laizar27",,1,0,0,1,21,0,2024-08-02 02:59:58,,
1819161180386001394,@isaya_lol @MauRSchneider The Olympics doesn’t test testosterone or gender at all.  The only requirement for the Olympics was for her passport to say she was female.,https://x.com/kc_exactly/status/1819161180386001394,tweet,NKCGuy,@kc_exactly,"Kansas City, Mo","@isaya_lol,@MauRSchneider",,1,0,0,1,436,0,2024-08-02 02:59:58,,
1819161171284414641,@libsoftiktok Do ur research bro 💀 imane khelif is from a country where you're not even allowed to transition if you wanted to. She has NINE losses. She was in the last Olympics and didn't win anything! Only 11% of her victories are knock outs! https://t.co/8EdzMNEKdm,https://x.com/mounir__mhd_/status/1819161171284414641,tweet,Mounir Mohammedi,@mounir__mhd_,,@libsoftiktok,,4,0,0,0,36,0,2024-08-02 02:59:56,https://pbs.twimg.com/media/GT71cPTX0AA1c9l.jpg,
